ug	-164	-186	-230	-120	-44	-145	-208	-274	4	-98	-142	-149	-149	-131	-125	-130	-140	-136	-135	-134
-119	-138	-160	-220	ug	-92	-177	-172	-261	-18	-125	-146	-140	-143	-130	-129	-129	-139	-140	-126	-129
-90	ug	-146	-251	-305	-145	-190	-164	-130	-158	-135	-129	-133	-122	-201	-70	-120	-79	-126	-118	-125
-152	-146	-163	-245	-319	-180	-200	-163	-122	-130	baum	busch	-144	-130	-142	-150	-161	-119	20	-235	-235
-130	-137	-160	-227	-341	-229	-229	-170	-111	-71	-133	-124	busch	busch	-131	-135	-126	-117	-136	-138	-136
-80	-100	-120	-140	-315	-388	-260	-208	-136	-109	-121	-135	-134	-140	-136	-144	-143	-148	-267	-126	-124
-290	ug	-147	-171	-335	-484	-371	-200	-142	-114	-126	baum	baum	baum	-135	-136	-148	-149	-252	-30	-140
30	-110	ug	-190	-305	-425	-310	-281	-147	-71	baum	baum	busch	busch	-140	142	-188	-181	-119	-135	-163
-280	-180	-178	-198	-313	-346	-187	-195	-145	-129	-134	-150	-134	-123	-200	-137	-191	0	30	334	1150
-450	-200	-185	-197	-244	-270	-60	-176	-169	-140	-131	-160	-162	-131	-219	-157	-152	-181	-207	20	-70
-670	-200	-171	-204	-223	-154	-40	-159	-226	-143	-155	-142	-100	-132	-144	-145	-135	-174	-210	200	-70
ug	-100	-176	-190	-219	-227	70	-141	-116	-136	-124	-152	-156	-132	-127	-137	-180	-147	-173	-116	-160
ug	0	-115	-149	-165	-170	110	-132	-160	-155	-129	-118	-142	-112	-105	-140	-263	-167	-154	-148	-145
-90	-105	-90	-110	-159	-245	73	-41	-133	-146	-155	-137	-129	-119	-118	-137	-85	-370	-138	-146	-139
-136	447	8	-83	-136	-165	-150	-37	ug	-153	-157	-136	-135	-125	-127	-148	-70	-14	-141	-145	-140
ug	ug	-60	-90	-104	ug	~60	 "+ ug"	ug	-142	-189	-147	-110	-130	-137	-144	-138	-145	-164	-122	-85
-112	-150	-140	-143	-170	-200	0	-112	-150	-176	-133	-107	-139	-137	-139	-133	-145	-155	-146	-129	-90
-139	-130	-131	-145	-162	-200	0	110	-140	-173	-161	-178	-135	-129	-138	-134	-105	-118	-122	-131	-127
-128	-142	-143	-146	-169	-207	-80	200	-112	-167	-168	-151	-146	-143	-137	-140	-142	-150	-137	-153	-141
-113	-115	-143	-151	-174	-210	-40	230	-90	-185	-170	-154	-120	-145	-140	-132	-131	-128	-124	-132	-133
-100	-132	-144	-165	-147	-50	240	0	-166	-158	-177	-180	-600	-153	-129	-130	-114	-100	-90	-108	-122
