DecimalYear,Declination,Inclination,Hor,Total,X,Y,Z
1969.08493,-2.80051,64.16036,20459.8,46941.9,20435.4,-999.6,42248.5
1969.18493,-2.79515,64.15933,20461.7,46944.6,20437.4,-997.8,42250.6
1969.28493,-2.78979,64.1583,20463.7,46947.3,20439.4,-996.0,42252.6
1969.38493,-2.78444,64.15726,20465.6,46950.0,20441.5,-994.2,42254.7
1969.48493,-2.77908,64.15623,20467.6,46952.7,20443.5,-992.4,42256.8
1969.58493,-2.77372,64.1552,20469.5,46955.4,20445.5,-990.6,42258.8
1969.68493,-2.76837,64.15416,20471.4,46958.1,20447.6,-988.7,42260.9
1969.78493,-2.76301,64.15313,20473.4,46960.8,20449.6,-986.9,42263.0
1969.88493,-2.75766,64.15209,20475.3,46963.5,20451.6,-985.1,42265.0
1969.98493,-2.75231,64.15106,20477.3,46966.2,20453.7,-983.3,42267.1
1970.08493,-2.7463,64.14993,20479.7,46969.8,20456.1,-981.3,42269.9
1970.18493,-2.74018,64.14877,20482.1,46973.5,20458.7,-979.2,42272.8
1970.28493,-2.73405,64.14762,20484.6,46977.2,20461.3,-977.1,42275.7
1970.38493,-2.72793,64.14647,20487.0,46980.9,20463.8,-975.0,42278.6
1970.48493,-2.72181,64.14532,20489.5,46984.6,20466.4,-973.0,42281.6
1970.58493,-2.71569,64.14416,20492.0,46988.3,20469.0,-970.9,42284.5
1970.68493,-2.70958,64.14301,20494.4,46992.0,20471.5,-968.8,42287.4
1970.78493,-2.70346,64.14186,20496.9,46995.7,20474.1,-966.8,42290.3
1970.88493,-2.69735,64.14071,20499.4,46999.4,20476.7,-964.7,42293.2
1970.98493,-2.69124,64.13955,20501.8,47003.1,20479.2,-962.6,42296.1
1971.08493,-2.68512,64.1384,20504.3,47006.8,20481.8,-960.6,42299.0
1971.18493,-2.67901,64.13725,20506.8,47010.5,20484.3,-958.5,42302.0
1971.28493,-2.67291,64.13609,20509.2,47014.2,20486.9,-956.4,42304.9
