Lecture Schedule Introduction to Geophysics;;;;;;;;;;;;;
Sommer Semester 2022;;;;;;;;;;;;;
Last update:  17 Feb 2022;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Start Week ;19.04.21;;Timing:;16:00-18:00 always;;;;;;;;;
End Week ;28.07.21;;;;;;;;;;;;
;;;;;;;;;;;;;
Week;Weekday;Session-Nr.;Room;Day;Topic;Comment;Practical Exercises;;;;;;
1;Tuesday;1;3M07;19.04.22;Introduction &  Gravimetry 1;;;;;;;;
;Thursday;2;3U03/3F03;21.04.21;Gravimetry Lab 1;;;;;;;;
2;Tuesday;3;3M07;26.04.22;Gravimetry 2;;;;;;;;
;Thursday;4;3U03/3F03;28.04.21;Gravimetry Lab 2;;;;;;;;
3;Tuesday;5;3M07;03.05.22;Magnetics 1;;;;;;;;
;Thursday;6;3U03/3F03;05.05.21;Magnetics Lab 1;;;;;;;;
4;Tuesday;7;3M07;10.05.22;Magnetics 2;;;;;;;;
;Thursday;8;3U03/3F03;12.05.21;Magnetics Lab 2;;;;;;;;
5;Tuesday;9;3M07;17.05.22;Maxwell Equations & Self Potential;;Magnetic Exercises;;;;;;
;Thursday;10;3U03/3F03;19.05.21;Geoelectric 1;;Magnetic Exercises;;;;;;
6;Tuesday;11;3M07;24.05.22;Geoelectric Lab 1;;Magnetic Exercises;;;;;;
;Thursday;;3U03/3F03;26.05.21;;Asccension Day;Magnetic Exercises;;;;;;
7;Tuesday;12;3M07;31.05.22;Geoelectric 2;;Magnetic Exercises;;;;;;
;Thursday;13;3U03/3F03;02.06.21;Geoelectric Lab 2;;Magnetic Exercises;;;;;;
;Tuesday;;3M07;07.06.22;;Pentecoast;Geoelectric Exercises;;;;;;
;Thursday;;3U03/3F03;09.06.21;;Pentecoast;Geoelectric Exercises;;;;;;
8;Tuesday;16;3M07;14.06.22;Induced Polarization & EM Induction;;Geoelectric Exercises;;;;;;
;Thursday;;3U03/3F03;16.06.21;;Fronleichnam;Geoelectric Exercises;;;;;;
9;Tuesday;17;3M07;21.06.22;EM Polarization & Induction Lab 1;;Geoelectric Exercises;;;;;;
;Thursday;18;3U03/3F03;23.06.21;Seismic Waves & Raypaths;;Geoelectric Exercises;;;;;;
10;Tuesday;19;3M07;28.06.22;Seismic Lab 1;;;;;;;;
;Thursday;20;3U03/3F03;30.06.21;Seimic Refraction;;;;;;;;
11;Tuesday;21;3M07;05.07.22;Seismic Lab 2;;Seismic Exercises;;;;;;
;Thursday;22;3U03/3F03;07.07.21;Seismic Reflection;;Seismic Exercises;;;;;;
12;Tuesday;23;3M07;12.07.22;Seismic Lab 3;;Seismic Exercises;;;;;;
;Thursday;24;3U03/3F03;14.07.21;Seismology;;Seismic Exercises;;;;;;
13;Tuesday;25;3M07;19.07.22;Seismic Lab 4;;Seismic Exercises;;;;;;
;Thursday;26;3U03/3F03;21.07.21;Electromagnetic Wave Propagation;;;;;;;;
14;Tuesday;27;3M07;26.07.22;GPR Lab 1;;;;;;;;
;Thursday;28;3U03/3F03;28.07.21;Summary Questions;;;;;;;;
;Tuesday;29;Tentative;02.08.22;Tentative Exam Date;Exam;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
